DATAFLOW,LAST UPDATE,freq,unit,bmi,lev_limit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y15-24,T,EL,2008,74.6,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y15-24,T,ES,2008,69.4,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y15-24,T,FR,2008,73.4,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y15-24,T,HU,2008,67.4,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y15-24,T,LV,2008,78.1,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y15-24,T,MT,2008,58.9,u
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y15-24,T,PL,2008,71.8,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y15-24,T,RO,2008,75.9,u
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y15-24,T,SI,2008,69.4,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y15-24,T,SK,2008,74.4,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y15-24,T,TR,2008,74.4,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y15-29,F,AT,2008,72.9,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y15-29,F,BE,2008,69.5,u
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y15-29,F,BG,2008,70.5,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y15-29,F,CY,2008,69.3,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y15-29,F,CZ,2008,69,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y15-29,F,EE,2008,74.5,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y15-29,F,EL,2008,72.9,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y15-29,F,ES,2008,69.2,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y15-29,F,FR,2008,69.9,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y15-29,F,HU,2008,67.2,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y15-29,F,LV,2008,78.7,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y15-29,F,MT,2008,61.2,u
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y15-29,F,PL,2008,74.4,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y15-29,F,RO,2008,75.3,u
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y15-29,F,SI,2008,74.5,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y15-29,F,SK,2008,75,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y15-29,F,TR,2008,71.2,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y15-29,M,AT,2008,72,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y15-29,M,BE,2008,69.6,u
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y15-29,M,BG,2008,67.7,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y15-29,M,CY,2008,60.8,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y15-29,M,CZ,2008,61.9,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y15-29,M,EE,2008,68.2,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y15-29,M,EL,2008,67.3,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y15-29,M,ES,2008,61.8,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y15-29,M,FR,2008,75.5,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y15-29,M,HU,2008,62.5,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y15-29,M,LV,2008,68.5,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y15-29,M,MT,2008,50.2,u
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y15-29,M,PL,2008,61,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y15-29,M,RO,2008,67.5,u
